stackid,respid,party,votech,stacked_votech,ptv,lr_dist,age_cont_yhat,age_dich_yhat,socdem_dich_yhat,socdem_cont_yhat,gndr,age
659-1503,659,1503,,0,0,0.906028368794326,0.432937035783364,0.210462540280192,0.255706805077053,0.472016982451224,1,31
659-1504,659,1504,,0,0,0.562324393358876,0.444456943554542,0.148304652674264,0.175579762628408,0.45973874447795,1,31
659-1505,659,1505,,0,0,0.160231432282442,0.268453737916838,0.015339669523615,0.0182987986191665,0.203842698452518,1,31
659-1506,659,1506,,0,0,0.4317115668141,0.333032271030662,0.0610840830997888,0.0267273424300736,0.256544180734024,1,31
659-1507,659,1507,,0,0,0.876530005941771,0.30503278941644,0.032142842132935,0.0285207196516502,0.328999280920079,1,31
669-1501,669,1501,1501,1,1,0.0892920668801138,0.320498414240375,0.179181007459085,0.159975102311289,0.304216996062312,2,62
669-1502,669,1502,1501,0,0,0.29258469556977,0.239300533426109,0.0365351979385477,0.0258523564617012,0.224135292749508,2,62
669-1503,669,1503,1501,0,0,0.205082742316785,0.446206556323357,0.267371378652851,0.245613497401343,0.46801623270819,2,62
669-1504,669,1504,1501,0,0,0.0067688378033206,0.357128060152755,0.161822280689924,0.174586090370463,0.345955247591769,2,62
669-1505,669,1505,1501,0,0.4,0.160231432282442,0.189358862921926,0.0250643514190351,0.0193531730013642,0.189437243145871,2,62
669-1506,669,1506,1501,0,0,0.0983782334807667,0.228887211409347,0.0319067629599699,0.0202661404334108,0.228332484577989,2,62
669-1507,669,1507,1501,0,0,0.234581105169341,0.301757398895847,0.0457528812519886,0.0413873680718079,0.305394513297578,2,62
700-1501,700,1501,1503,0,0.3,,0.339484953005302,0.15629476482316,0.106190592580287,0.27768074812761,2,48
700-1502,700,1502,1503,0,0,,0.263073430206841,0.0399258874490262,0.0483632278887435,0.263020432829129,2,48
700-1503,700,1503,1503,1,0.7,0.128250591016548,0.440213869627876,0.240512891418276,0.336841509835417,0.574330673460732,2,48
700-1504,700,1504,1503,0,0.7,0.215453384418902,0.396566910721304,0.155598263912975,0.110954142623582,0.469970441996072,2,48
700-1505,700,1505,1503,0,0.7,0.160231432282442,0.22507912904866,0.0200917204764242,0.0212880131466357,0.248448774895719,2,48
700-1506,700,1506,1503,0,,0.234955099852567,,0.0428851630416155,0.0342811595208367,,2,48
700-1507,700,1507,1503,0,0.4,0.0987522281639929,0.30323660751805,0.0390337633822619,0.0170727863505697,0.283151564039231,2,48
710-1501,710,1501,1503,0,0,0.132930155342108,0.327279320942135,0.170720109081349,0.120006177900015,0.276302507928431,2,57
710-1502,710,1502,1503,0,0.1,0.151859748874674,0.247790853704942,0.0377131141294591,0.0436310463271723,0.246270020713146,2,57
710-1503,710,1503,1503,1,1,0.0171394799054373,0.444066311074971,0.257564098395041,0.348352480219209,0.56958655984004,2,57
710-1504,710,1504,1503,0,0.2,0.117879948914432,0.371213363927237,0.15957666608479,0.112149018678853,0.440121592508114,2,57
710-1505,710,1505,1503,0,0,0.0491203211713308,0.202116100824331,0.0231639873056931,0.0244480954889165,0.229776491770177,2,57
710-1506,710,1506,1503,0,0,0.320600455702989,0.24568480167085,0.035474326423937,0.0313849595211708,0.280034213566464,2,57
710-1507,710,1507,1503,0,0.4,0.0987522281639929,0.302285687689491,0.0432353893775094,0.0195045584050002,0.28212639419786,2,57
714-1501,714,1501,1501,1,1,0.244041266453219,0.312361326198263,0.189762415805968,0.232862988105339,0.363629813349813,2,68
714-1502,714,1502,1501,0,0,0.29258469556977,0.22911214909151,0.0351683890248846,0.0330037543889225,0.213963765199853,2,68
714-1503,714,1503,1501,0,0,0.205082742316785,0.44877485062142,0.279448446461787,0.214679175433124,0.384165539611448,2,68
714-1504,714,1504,1501,0,0,0.326564495530013,0.340225695623377,0.164550597134057,0.15331482932253,0.313361694345606,2,68
714-1505,714,1505,1501,0,0.8,0.160231432282442,0.17405017743904,0.0275458569886336,0.0179483757244783,0.232627201092369,2,68
714-1506,714,1506,1501,0,0,0.679399544297011,0.208730103095545,0.0280823382776416,0.0507138020505002,0.278929850811129,2,68
714-1507,714,1507,1501,0,0,0.234581105169341,0.301123452343474,0.0489581719340147,0.0641934615362626,0.279850280832997,2,68
735-1501,735,1501,,0,0.1,0.132930155342108,0.308292782177207,0.195229876741011,0.241174083659665,0.363170399950086,2,71
735-1502,735,1502,,0,0.1,0.181473584458659,0.22401795692421,0.0345035899643133,0.0318746564601084,0.208380294494525,2,71
735-1503,735,1503,,0,0.2,0.128250591016548,0.450058997770452,0.285610658378981,0.217565524876653,0.382584168404551,2,71
735-1504,735,1504,,0,0.9,0.0067688378033206,0.331774513358688,0.165928549798775,0.153837235606063,0.30341207784962,2,71
735-1505,735,1505,,0,0.1,0.0491203211713308,0.166395834697597,0.0288745879097832,0.0187998018223526,0.226403106717189,2,71
735-1506,735,1506,,0,0.1,0.0983782334807667,0.198651548938643,0.0263408543053385,0.0492691546512285,0.270519601252553,2,71
735-1507,735,1507,,0,0,0.234581105169341,0.300806479067288,0.0506396456733522,0.0669636496931262,0.27950855755254,2,71
738-1501,738,1501,,0,0.4,0.200403177991225,0.355759129089526,0.13862442650693,0.156768110570667,0.368530222946895,2,36
738-1502,738,1502,,0,0.7,,0.283450198876039,0.0430704211275271,0.0477059347870637,0.273520786056681,2,36
738-1503,738,1503,,0,0.6,0.23936170212766,0.43507728103175,0.219005379415277,0.185626720565377,0.401033499151685,2,36
738-1504,738,1504,,0,0.7,0.215453384418902,0.43037163978006,0.150420034473048,0.14783256575844,0.419490936969453,2,36
738-1505,738,1505,,0,0.8,0.506435234384225,0.255696500014433,0.0166090440093648,0.0109245183352929,0.299017541094297,2,36
738-1506,738,1506,,0,0.6,0.123843988741456,0.316234680769159,0.055088109155423,0.0688156337236673,0.368639179435935,2,36
738-1507,738,1507,,0,0.5,0.0987522281639929,0.304504500622796,0.0340374198442204,0.040629565024038,0.283495329157871,2,36
752-1501,752,1501,,0,0.8,,0.377458030535157,0.117702803442712,,,2,20
752-1502,752,1502,,0,0.4,,0.310619223768304,0.0476324398092038,,,2,20
752-1503,752,1503,,0,0.1,,0.428228496236915,0.192537078767702,,,2,20
752-1504,752,1504,,0,,,,0.143737305808454,,,2,20
752-1505,752,1505,,0,0.7,,0.296519661302129,0.0128737994532355,,,2,20
752-1506,752,1506,,0,1,,0.369986969605967,0.0764794075577904,,,2,20
752-1507,752,1507,,0,,,,0.0283270797409183,,,2,20
763-1501,763,1501,1503,0,0.4,0.355152377564331,0.324566958261431,0.174065785833477,0.123279893171346,0.275996232328614,2,59
763-1502,763,1502,1503,0,0.4,0.070362473347548,0.244394725593409,0.0372376313494719,0.0426411107969782,0.242547706909594,2,59
763-1503,763,1503,1503,1,0.8,0.0171394799054373,0.444922409174326,0.261458664508506,0.350935278750651,0.568532312368775,2,59
763-1504,763,1504,1503,0,0.4,0.340102171136654,0.365579242417444,0.160471867721268,0.112416068883054,0.433488514844124,2,59
763-1505,763,1505,1503,0,0,0.0491203211713308,0.197013205663369,0.0239066409916496,0.0252101553212133,0.225627095520056,2,59
763-1506,763,1506,1503,0,0,0.123843988741456,0.238965765566249,0.0340033770757971,0.0307742622680452,0.274427380527413,2,59
763-1507,763,1507,1503,0,0,0.123469994058229,0.302074372172033,0.0442261119382862,0.0200894266295789,0.281898578677555,2,59
764-1501,764,1501,1501,1,0.7,0.0892920668801138,0.317786051559671,0.182655974649313,0.222095281456387,0.364242364549448,2,64
764-1502,764,1502,1501,0,0.2,0.070362473347548,0.235904405314576,0.0360740094632916,0.0345694479084815,0.221408392806956,2,64
764-1503,764,1503,1501,0,0,0.205082742316785,0.447062654422712,0.271360037097588,0.210874150467453,0.386274034553978,2,64
764-1504,764,1504,1501,0,0,,0.351493938642963,0.162727640680049,0.152620548552433,0.326627849673587,2,64
764-1505,764,1505,1501,0,0,0.160231432282442,0.184255967760964,0.0258663187833467,0.0168717932190535,0.24092599359261,2,64
764-1506,764,1506,1501,0,0.4,0.0983782334807667,0.222168175304747,0.0305790533539549,0.0527024405646282,0.29014351688923,2,64
764-1507,764,1507,1501,0,0,0.234581105169341,0.301546083378389,0.0467984695078738,0.0606657758261749,0.280305911873606,2,64
778-1501,778,1501,1503,0,0.2,0.132930155342108,0.331347864963191,0.165797638625024,0.115236539176673,0.276761921328158,2,54
778-1502,778,1502,1503,0,0.5,0.0407486377635631,0.252885045872242,0.0384372909117307,0.045157166843724,0.251853491418474,2,54
778-1503,778,1503,1503,1,0.8,0.0171394799054373,0.44278216392594,0.251793726115297,0.344494973872609,0.571167931046937,2,54
778-1504,778,1504,1503,0,0.4,0.10434227330779,0.379664546191926,0.158241454936603,0.111749482677899,0.4500712090041,2,54
778-1505,778,1505,1503,0,0.1,0.0491203211713308,0.209770443565774,0.0220920647626732,0.0233469499786031,0.236000586145358,2,54
778-1506,778,1506,1503,0,0.2,0.0127328776303445,0.255763355827751,0.0377962149760767,0.0323230431459369,0.288444463125039,2,54
778-1507,778,1507,1503,0,0.7,0.0987522281639929,0.302602660965677,0.0417889495812079,0.0186584219650677,0.282468117478317,2,54
779-1501,779,1501,1507,0,0,0.0218190442309972,0.370677123833397,0.123928824722907,0.135755427854693,0.370214738745892,2,25
779-1502,779,1502,1507,0,0.5,0.29258469556977,0.302128903489472,0.0461595688567846,0.0540693276122886,0.293993511976216,2,25
779-1503,779,1503,1507,0,1,0.205082742316785,0.430368741485301,0.200537116984256,0.176367881195915,0.406831860243641,2,25
779-1504,779,1504,1507,0,0,0.340102171136654,0.46135930808392,0.145798692447358,0.145985815754499,0.455972864121401,2,25
779-1505,779,1505,1507,0,0,0.160231432282442,0.283762423399724,0.0139420097199439,0.00920392006806427,0.321839220469959,2,25
779-1506,779,1506,1507,0,0,0.209489344591878,0.353189379344465,0.069083429065017,0.0763162184077554,0.399476761150713,2,25
779-1507,779,1507,1507,1,1,0.234581105169341,0.305666735968813,0.0300037193420827,0.0346376290552459,0.284748314519546,2,25
794-1501,794,1501,,0,1,0.0892920668801138,0.34490967836671,0.150209303947779,0.173659632498057,0.367305120547624,2,44
794-1502,794,1502,,0,0.8,0.818526415541341,0.269865686429907,0.0409488186203017,0.0435317567812963,0.258631530842474,2,44
794-1503,794,1503,,0,0.7,0.906028368794326,0.438501673429168,0.233186731142985,0.19259315960601,0.396816509266626,2,44
794-1504,794,1504,,0,1,,0.40783515374089,0.153856220431395,0.149187752484715,0.392958626313491,2,44
794-1505,794,1505,,0,0.3,0.284213012162003,0.235284919370585,0.0188578655670134,0.012372164238982,0.282419956093815,2,44
794-1506,794,1506,,0,0.4,0.0127328776303445,0.289358536350756,0.0466348039325457,0.0637957074027636,0.346211847279734,2,44
794-1507,794,1507,,0,0.5,0.432085561497326,0.303659238552966,0.0372946904956179,0.0455983615528945,0.282584067076653,2,44
807-1501,807,1501,,0,0.6,0.422625400213447,0.380170393215861,0.115289246540827,,,2,18
807-1502,807,1502,,0,0.6,0.151859748874674,0.314015351879837,0.0482340029113938,,,2,18
807-1503,807,1503,,0,0.7,0.128250591016548,0.42737239813756,0.189405849112645,,,2,18
807-1504,807,1504,,0,0.8,0.326564495530013,0.481078733368195,0.142919566378614,,,2,18
807-1505,807,1505,,0,0,0.0619907899397804,0.301622556463091,0.0124694997931501,,,2,18
807-1506,807,1506,,0,0.5,0.0127328776303445,0.376706005710568,0.0796363440847794,,,2,18
807-1507,807,1507,,0,0.4,0.320974450386215,0.306406340279915,0.0276822007476033,,,2,18
815-1501,815,1501,1503,0,0.2,0.355152377564331,0.366608579812341,0.127798662168591,,,2,28
815-1502,815,1502,1503,0,0.7,0.29258469556977,0.297034711322172,0.0452967544230645,,,2,28
815-1503,815,1503,1503,1,1,0.683806146572104,0.431652888634333,0.205455394315381,,,2,28
815-1504,815,1504,1503,0,0.2,0.228991060025543,0.452908125819231,0.147047254643029,,,2,28
815-1505,815,1505,1503,0,0.1,0.160231432282442,0.276108080658281,0.0146243996664724,,,2,28
815-1506,815,1506,1503,0,0.1,0.234955099852567,0.343110825187563,0.0649692894147576,,,2,28
815-1507,815,1507,1503,0,1,0.234581105169341,0.305349762692627,0.0310554579571499,,,2,28
816-1501,816,1501,1506,0,0.6,0.0218190442309972,0.353046766408822,0.141448396049255,,,2,38
816-1502,816,1502,1506,0,0,0.29258469556977,0.280054070764506,0.0425303792823003,,,2,38
816-1503,816,1503,1506,0,0,0.0939716312056738,0.435933379131104,0.222491631611853,,,2,38
816-1504,816,1504,1506,0,0,0.215453384418902,0.424737518270268,0.151273114688061,,,2,38
816-1505,816,1505,1506,0,0.6,0.0491203211713308,0.250593604853471,0.0171452302314742,,,2,38
816-1506,816,1506,1506,1,1,0.0127328776303445,0.309515644664559,0.0528484326189186,,,2,38
816-1507,816,1507,1506,0,0.3,0.0123588829471183,0.304293185105339,0.0348250461127748,,,2,38
826-1501,826,1501,1503,0,0,0.355152377564331,0.309648963517559,0.193394244529904,0.238381402876966,0.363323537749995,2,70
826-1502,826,1502,1503,0,0.3,0.151859748874674,0.225716020979977,0.0347238321306074,0.0322468091385651,0.210241451396301,2,70
826-1503,826,1503,1503,1,1,0.23936170212766,0.449630948720775,0.283547541833829,0.216600306235478,0.383111292140183,2,70
826-1504,826,1504,1503,0,0,0.562324393358876,0.334591574113584,0.165468208057529,0.153662938544476,0.306728616681616,2,70
826-1505,826,1505,1503,0,0,0.160231432282442,0.168947282278078,0.028424908500505,0.0185116803656569,0.228477804842249,2,70
826-1506,826,1506,1503,0,0,0.0127328776303445,0.202011066990944,0.0269093477116977,0.0497463149371783,0.273323017772078,2,70
826-1507,826,1507,1503,0,0.5,0.209863339275104,0.300912136826016,0.0500731667951458,0.0660281403567687,0.279622465312693,2,70
827-1501,827,1501,1506,0,0.4,0.0218190442309972,0.311005144857911,0.191571763180162,0.235611019272311,0.363476675549904,2,69
827-1502,827,1502,1506,0,0,0.181473584458659,0.227414085035743,0.0349454292559329,0.0326231604701945,0.212102608298077,2,69
827-1503,827,1503,1506,0,0.8,0.205082742316785,0.449202899671098,0.281493455992626,0.215638189583924,0.383638415875816,2,69
827-1504,827,1504,1506,0,0.6,,0.337408634868481,0.165008890795297,0.153488803139553,0.310045155513611,2,69
827-1505,827,1505,1506,0,0,0.160231432282442,0.171498729858559,0.0279820304018736,0.0182278925616476,0.230552502967309,2,69
827-1506,827,1506,1506,1,0.6,,0.205370585043244,0.0274897640468451,0.0502278522684739,0.276126434291604,2,69
827-1507,827,1507,1506,0,0.6,0.123469994058229,0.301017794584745,0.0495126943229376,0.0651047885141363,0.279736373072845,2,69
837-1501,837,1501,,0,0.7,0.422625400213447,0.342197315686006,0.153227292079604,0.129708013720381,0.306667200860853,2,46
837-1502,837,1502,,0,0.6,0.0407486377635631,0.266469558318374,0.0404342546140829,0.0311503634917765,0.253913803177922,2,46
837-1503,837,1503,,0,0.6,0.128250591016548,0.439357771528522,0.236830274272306,0.229168474568574,0.476450212478309,2,46
837-1504,837,1504,,0,0.5,0.326564495530013,0.402201032231097,0.154725239262058,0.171518888310187,0.399019868903692,2,46
837-1505,837,1505,,0,0.7,0.617546345495336,0.230182024209623,0.019465213008142,0.0151101311996908,0.222632413146835,2,46
837-1506,837,1506,,0,0.3,0.234955099852567,0.282639500246155,0.0447225408648057,0.0237511521160244,0.273187148890393,2,46
837-1507,837,1507,,0,0.4,0.0987522281639929,0.303447923035508,0.0381547128614,0.0328104230963585,0.307217037460015,2,46
853-1501,853,1501,1502,0,0.8,0.533736511324558,0.331347864963191,0.165797638625024,0.196754516219713,0.365773742548536,2,54
853-1502,853,1502,1502,1,0.7,0.151859748874674,0.252885045872242,0.0384372909117307,0.0388030536746749,0.240019961824715,2,54
853-1503,853,1503,1502,0,0.6,0.461583924349882,0.44278216392594,0.251793726115297,0.201578784935662,0.391545271910302,2,54
853-1504,853,1504,1502,0,0.6,0.326564495530013,0.379664546191926,0.158241454936603,0.150896123721521,0.359793237993539,2,54
853-1505,853,1505,1502,0,0.6,0.284213012162003,0.209770443565774,0.0220920647626732,0.0144504110914009,0.261672974843213,2,54
853-1506,853,1506,1502,0,0.7,0.457177322074789,0.255763355827751,0.0377962149760767,0.0580006891969229,0.318177682084482,2,54
853-1507,853,1507,1502,0,0.9,0.209863339275104,0.302602660965677,0.0417889495812079,0.0526250742778261,0.281444989475129,2,54
856-1501,856,1501,1501,1,0.9,0.0218190442309972,0.35847149177023,0.135847915666685,0.15276006014764,0.368836498546713,2,34
856-1502,856,1502,1501,0,0,0.29258469556977,0.286846326987573,0.0436170079286429,0.0488074583195431,0.277243099860233,2,34
856-1503,856,1503,1501,0,0,0.205082742316785,0.434221182932396,0.215558608963636,0.183915814329322,0.40208774662295,2,34
856-1504,856,1504,1501,0,0,0.0067688378033206,0.436005761289853,0.149570917258289,0.147495362854828,0.426124014633444,2,34
856-1505,856,1505,1501,0,0.1,0.160231432282442,0.260799395175395,0.0160893515497411,0.0105895976753241,0.303166937344417,2,34
856-1506,856,1506,1501,0,0,0.0127328776303445,0.32295371687376,0.0574169476291933,0.0701266196708996,0.374246012474986,2,34
856-1507,856,1507,1501,0,0,0.234581105169341,0.304715816140254,0.0332669930693431,0.039470793927626,0.283723144678176,2,34
875-1501,875,1501,1503,0,0,0.132930155342108,0.320498414240375,0.179181007459085,0.159975102311289,0.304216996062312,2,62
875-1502,875,1502,1503,0,0.6,0.0407486377635631,0.239300533426109,0.0365351979385477,0.0258523564617012,0.224135292749508,2,62
875-1503,875,1503,1503,1,1,0.128250591016548,0.446206556323357,0.267371378652851,0.245613497401343,0.46801623270819,2,62
875-1504,875,1504,1503,0,0.7,0.10434227330779,0.357128060152755,0.161822280689924,0.174586090370463,0.345955247591769,2,62
875-1505,875,1505,1503,0,0.1,0.160231432282442,0.189358862921926,0.0250643514190351,0.0193531730013642,0.189437243145871,2,62
875-1506,875,1506,1503,0,0.3,0.123843988741456,0.228887211409347,0.0319067629599699,0.0202661404334108,0.228332484577989,2,62
875-1507,875,1507,1503,0,0.8,0.234581105169341,0.301757398895847,0.0457528812519886,0.0413873680718079,0.305394513297578,2,62
878-1501,878,1501,1503,0,0,0.0218190442309972,0.348978222387766,0.145774274541194,0.121303287617537,0.307432889860397,2,41
878-1502,878,1502,1503,0,0.7,0.151859748874674,0.274959878597207,0.0417324336463305,0.0330117827801923,0.263219587686801,2,41
878-1503,878,1503,1503,1,1,0.128250591016548,0.437217526280136,0.227794932787787,0.224190953750327,0.479085831156471,2,41
878-1504,878,1504,1503,0,0,0.0067688378033206,0.416286336005579,0.15256018476697,0.170569192386316,0.415602563063668,2,41
878-1505,878,1505,1503,0,0,0.160231432282442,0.242939262112028,0.0179815423819498,0.0139826802218438,0.233005903772136,2,41
878-1506,878,1506,1503,0,0,0.0983782334807667,0.299437090507657,0.0496495732085807,0.0249555805786443,0.287204231488019,2,41
878-1507,878,1507,1503,0,0.8,0.0987522281639929,0.303976211829152,0.0360395103715051,0.0305014850136807,0.307786576260776,2,41
909-1501,909,1501,1504,0,0,0.355152377564331,0.332704046303543,0.164182283601744,0.142302217462907,0.305595236261492,2,53
909-1502,909,1502,1504,0,0,0.262970859985785,0.254583109928008,0.0386816365614388,0.0287141726958928,0.240885704865491,2,53
909-1503,909,1503,1504,0,0.9,0.205082742316785,0.442354114876262,0.249889440185644,0.236266551346714,0.472760346328882,2,53
909-1504,909,1504,1504,1,1,0.215453384418902,0.382481606946822,0.157798404999229,0.172855500156486,0.375804097079726,2,53
909-1505,909,1505,1504,0,0,0.160231432282442,0.212321891146255,0.0217456479742262,0.016840275835405,0.208109526271413,2,53
909-1506,909,1506,1504,0,0.2,0.0983782334807667,0.259122873880052,0.0386021383235362,0.0221597708476037,0.253563233253716,2,53
909-1507,909,1507,1504,0,0.7,0.234581105169341,0.302708318724406,0.0413171698142794,0.0363283963333539,0.306419683138949,2,53
910-1501,910,1501,,0,0.2,0.355152377564331,0.374745667854453,0.12016002512534,0.130452629033864,0.370674152145618,2,22
910-1502,910,1502,,0,0.1,0.0407486377635631,0.307223095656771,0.0470380084702372,0.0559392011835154,0.299576982681544,2,22
910-1503,910,1503,,0,0.5,0.0939716312056738,0.429084594336269,0.195707575448047,0.173906604931245,0.408413231450539,2,22
910-1504,910,1504,,0,0.5,0.10434227330779,0.469810490348609,0.144558934924623,0.145485487446607,0.465922480617386,2,22
910-1505,910,1505,,0,0.4,0.160231432282442,0.291416766141167,0.0132910313284982,0.00878319260230144,0.32806331484514,2,22
910-1506,910,1506,,0,0.7,,0.363267933501366,0.0734376322894882,0.0784884554003788,0.407887010709288,2,22
910-1507,910,1507,,0,0.3,,0.305983709245,0.0289865338441746,0.0331571982881264,0.285090037800003,2,22
935-1501,935,1501,1503,0,0,0.244041266453219,0.328635502282487,0.169066514602234,0.148004707266421,0.305135822861765,2,56
935-1502,935,1502,1503,0,0.6,0.070362473347548,0.249488917760708,0.0379530378956615,0.0277276185355018,0.235302234160163,2,56
935-1503,935,1503,1503,1,1,0.0939716312056738,0.443638262025294,0.255631082025443,0.239354680476876,0.471178975121985,2,56
935-1504,935,1504,1503,0,0,0.117879948914432,0.374030424682133,0.159130584498532,0.173430850945039,0.36585448058374,2,56
935-1505,935,1505,1503,0,0,0.160231432282442,0.204667548404812,0.0228011540393526,0.0176400806497375,0.201885431896232,2,56
935-1506,935,1506,1503,0,0,0.4317115668141,0.24904431972315,0.0362326047851166,0.0215100905130448,0.245152983695141,2,56
935-1507,935,1507,1503,0,0.8,0.234581105169341,0.30239134544822,0.0427480084157621,0.0379448605694113,0.306077959858492,2,56
937-1501,937,1501,,0,0,0.755958733546781,0.363896217131638,0.130435491101013,0.104455342584227,0.309117405659394,2,30
937-1502,937,1502,,0,0,0.29258469556977,0.293638583210639,0.0447301023670056,0.0374923211163834,0.283692313606336,2,30
937-1503,937,1503,,0,0,0.205082742316785,0.432508986733687,0.208783612341151,0.213512890806267,0.484884192248427,2,30
937-1504,937,1504,,0,0,0.562324393358876,0.447274004309438,0.147884536332269,0.16849457223575,0.452084490215616,2,30
