"respid","party","stackid","votech","pid","pid_str","age","gndr","edu","lr_self","lr_party","lr_party_ches","euint_self","euint_party","euint_party_ches","ptv","stacked_votech","lr_dist","euint_dist","stacked_pid","stacked_pid_str","age_dich_yhat","age_cont_yhat","socdem_dich_yhat","socdem_cont_yhat"
642,1501,"642-1501",1504,1505,3,21,1,2,0.5,0.319637139807898,0.321052622795105,1,0.557550535077289,0.678947353363037,1,0,0.180362860192102,0.442449464922711,0,0,0.19314207957909,0.376101849194805,0.151493732028007,0.308398125812991
642,1502,"642-1502",1504,1505,3,21,1,2,0.5,0.736673773987207,0.694736862182617,1,0.455791962174941,0.489473676681519,1,0,0.236673773987207,0.544208037825059,0,0,0.0780615013061304,0.308921159712538,0.0878825788693614,0.327402503663792
642,1503,"642-1503",1504,1505,3,21,1,2,0.5,0.815425531914894,0.878947353363037,1,0.394419134396355,0.168421053886414,1,0,0.315425531914894,0.605580865603645,0,0,0.316461526361558,0.428656545286592,0.381606929087642,0.477288219807548
642,1504,"642-1504",1504,1505,3,21,1,2,0.5,0.506091954022988,0.477777767181397,1,0.466309523809524,0.347368431091309,1,1,0.00609195402298846,0.533690476190476,0,0,0.235645052308135,0.472627551103506,0.275661862867804,0.492904132797903
642,1505,"642-1505",1504,1505,3,21,1,2,0.5,0.144208289054198,0.144444441795349,1,0.483291457286432,0.526666688919067,1,0,0.355791710945802,0.516708542713568,1,3,0.0210167073679386,0.293968213721648,0.0240448299425292,0.22458967970312
642,1506,"642-1506",1504,1505,3,21,1,2,0.5,0.38854041013269,0.43125,1,0.606041923551171,0.675,1,0,0.11145958986731,0.393958076448829,0,0,0.124773734522523,0.366627451553666,0.0470921809921443,0.284578345929276
642,1507,"642-1507",1504,1505,3,21,1,2,0.5,0.788877005347594,0.905263137817383,1,0.389568345323741,0.194736838340759,1,0,0.288877005347594,0.610431654676259,0,0,0.046353363962175,0.306089367003728,0.0388349178566455,0.330138358521602
643,1501,"643-1501",1503,99,0,43,1,2,0.7,0.319637139807898,0.321052622795105,0.5,0.557550535077289,0.678947353363037,0.3,0,0.380362860192102,0.0575505350772889,99,0,0.217184313157921,0.346265859707062,0.184583759324291,0.305029094214997
643,1502,"643-1502",1503,99,0,43,1,2,0.7,0.736673773987207,0.694736862182617,0.5,0.455791962174941,0.489473676681519,0.5,0,0.0366737739872068,0.0442080378250591,99,0,0.0605639397972577,0.271563750485674,0.0619016820502557,0.286457051824722
643,1503,"643-1503",1503,99,0,43,1,2,0.7,0.815425531914894,0.878947353363037,0.5,0.394419134396355,0.168421053886414,0.7,1,0.115425531914894,0.105580865603645,99,0,0.337990763458705,0.43807362437949,0.380003998791592,0.465691497623636
643,1504,"643-1504",1503,99,0,43,1,2,0.7,0.506091954022988,0.477777767181397,0.5,0.466309523809524,0.347368431091309,0.7,0,0.193908045977012,0.0336904761904762,99,0,0.224846490471176,0.410652214495786,0.254019212323704,0.419940278494008
643,1505,"643-1505",1503,99,0,43,1,2,0.7,0.144208289054198,0.144444441795349,0.5,0.483291457286432,0.526666688919067,0,0,0.555791710945802,0.0167085427135679,99,0,0.0270676748221926,0.237836366951066,0.0310371075160265,0.178946320951795
643,1506,"643-1506",1503,99,0,43,1,2,0.7,0.38854041013269,0.43125,0.5,0.606041923551171,0.675,0,0,0.31145958986731,0.106041923551171,99,0,0.0702841490571764,0.292718054403056,0.033905599838353,0.222903182499721
643,1507,"643-1507",1503,99,0,43,1,2,0.7,0.788877005347594,0.905263137817383,0.5,0.389568345323741,0.194736838340759,0.3,0,0.0888770053475937,0.110431654676259,99,0,0.0538664457148285,0.303764896311694,0.0484844637071086,0.327632387798251
645,1501,"645-1501",1503,1504,2,50,2,3,1,0.319637139807898,0.321052622795105,0.5,0.557550535077289,0.678947353363037,0,0,0.680362860192103,0.0575505350772889,0,0,0.225273188251497,0.336772590324599,0.264838056935144,0.366386293748172
645,1502,"645-1502",1503,1504,2,50,2,3,1,0.736673773987207,0.694736862182617,0.5,0.455791962174941,0.489473676681519,0,0,0.263326226012793,0.0442080378250591,0,0,0.0558130746579424,0.259677302095308,0.0585532299511535,0.247464589431819
645,1503,"645-1503",1503,1504,2,50,2,3,1,0.815425531914894,0.878947353363037,0.5,0.394419134396355,0.168421053886414,1,1,0.184574468085106,0.105580865603645,0,0,0.344989724644495,0.441069967727231,0.283792996396188,0.393653766852831
645,1504,"645-1504",1503,1504,2,50,2,3,1,0.506091954022988,0.477777767181397,0.5,0.466309523809524,0.347368431091309,0.4,0,0.493908045977012,0.0336904761904762,1,2,0.221485169729725,0.390932789211511,0.21483468984506,0.37305939332152
645,1505,"645-1505",1503,1504,2,50,2,3,1,0.144208289054198,0.144444441795349,0.5,0.483291457286432,0.526666688919067,0,0,0.855791710945802,0.0167085427135679,0,0,0.0293266194075096,0.219976233887698,0.019349323384521,0.269971767343454
645,1506,"645-1506",1503,1504,2,50,2,3,1,0.38854041013269,0.43125,0.5,0.606041923551171,0.675,0,0,0.61145958986731,0.106041923551171,0,0,0.0581855053619605,0.269201428036953,0.0860740195410808,0.329391348162583
645,1507,"645-1507",1503,1504,2,50,2,3,1,0.788877005347594,0.905263137817383,0.5,0.389568345323741,0.194736838340759,0.6,0,0.211122994652406,0.110431654676259,0,0,0.0564888981383146,0.303025292000593,0.070379692323662,0.281900620515739
648,1501,"648-1501",1503,1504,2,33,1,2,0.9,0.319637139807898,0.321052622795105,0,0.557550535077289,0.678947353363037,0,0,0.580362860192103,0.557550535077289,0,0,0.205996538154355,0.359827673110582,0.168895380555121,0.306560472214085
