respid,party,stackid,votech,pid,pid_str,age,gndr,edu,lr_self,lr_party,lr_party_ches,euint_self,euint_party,euint_party_ches,ptv,stacked_vc,lr_dist,lr_dist_ches,euint_dist,euint_dist_ches,stacked_pid,stacked_pid_str,age_dich_yhat,age_cont_yhat,socdem_dich_yhat,socdem_cont_yhat
12763,1503,12763-1503,1501,1505,2,55,2,3,.2,.81542552,.87894738,.8,.39441913,.16842106,0,0,.61542553,.67894739,.40558088,.63157892,0,0,.28224146,.44321021,.22622322,.39101815
12763,1504,12763-1504,1501,1505,2,55,2,3,.2,.50609195,.47777778,.8,.46630952,.34736842,0,0,.30609196,.27777779,.33369049,.45263159,0,0,.17661816,.37684748,.16978155,.35647669
12763,1505,12763-1505,1501,1505,2,55,2,3,.2,.14420828,.14444444,.8,.48329145,.5266667,.80000001,0,.055791717,.055555563,.31670856,.27333331,1,2,.024993941,.20721899,.016313508,.25959828
12763,1506,12763-1506,1501,1505,2,55,2,3,.2,.38854042,.43125001,.8,.60604191,.67500001,.80000001,0,.18854041,.23125,.19395809,.12499999,0,0,.041131828,.25240383,.06485565,.31537426
12763,1507,12763-1507,1501,1505,2,55,2,3,.2,.78887701,.90526313,.8,.38956836,.19473684,0,0,.58887702,.70526314,.41043165,.60526317,0,0,.047059752,.302497,.059683014,.28133109
12764,1501,12764-1501,1506,0,0,52,2,2,.6,.31963715,.32105261,.6,.55755055,.67894733,.5,0,.28036284,.27894738,.042449452,.078947328,0,0,.18200302,.33406022,.15913805,.30574837
12764,1502,12764-1502,1506,0,0,52,2,2,.6,.73667377,.69473684,.6,.45579195,.48947367,.5,0,.13667378,.094736837,.14420804,.11052633,0,0,.04359794,.25628117,.032818541,.24274686
12764,1503,12764-1503,1506,0,0,52,2,2,.6,.81542552,.87894738,.6,.39441913,.16842106,.5,0,.21542552,.27894738,.20558086,.43157893,0,0,.27754337,.44192606,.26548466,.47328746
12764,1504,12764-1504,1506,0,0,52,2,2,.6,.50609195,.47777778,.6,.46630952,.34736842,.60000002,0,.093908049,.12222222,.13369048,.25263157,0,0,.17622811,.38529867,.19532752,.37912065
12764,1505,12764-1505,1506,0,0,52,2,2,.6,.14420828,.14444444,.6,.48329145,.5266667,.40000001,0,.45579171,.45555556,.11670855,.073333301,0,0,.023975868,.21487334,.018717669,.21018423
12764,1506,12764-1506,1506,0,0,52,2,2,.6,.38854042,.43125001,.6,.60604191,.67500001,.69999999,1,.21145958,.16874999,.0060419082,.07500001,0,0,.044135816,.2624824,.025317194,.25636664
12764,1507,12764-1507,1506,0,0,52,2,2,.6,.78887701,.90526313,.6,.38956836,.19473684,.5,0,.18887702,.30526313,.21043164,.40526316,0,0,.045755379,.30281398,.040626489,.3065336
12771,1501,12771-1501,1502,1502,2,30,2,2,1,.31963715,.32105261,.4,.55755055,.67894733,0,0,.68036282,.67894739,.15755054,.27894732,0,0,.15273602,.36389622,.12396036,.30911741
12771,1502,12771-1502,1502,1502,2,30,2,2,1,.73667377,.69473684,.4,.45579195,.48947367,1,1,.26332623,.30526316,.055791952,.089473672,1,2,.052531086,.29363859,.044649817,.2836923
12771,1503,12771-1503,1502,1502,2,30,2,2,1,.81542552,.87894738,.4,.39441913,.16842106,.69999999,0,.18457448,.12105262,.0055808662,.23157895,0,0,.24460065,.43250898,.25182378,.4848842
12771,1504,12771-1504,1502,1502,2,30,2,2,1,.50609195,.47777778,.4,.46630952,.34736842,.5,0,.49390805,.52222222,.066309519,.052631579,0,0,.17338836,.447274,.19882898,.45208448
12771,1505,12771-1505,1502,1502,2,30,2,2,1,.14420828,.14444444,.4,.48329145,.5266667,0,0,.85579169,.85555553,.083291449,.12666669,0,0,.017652741,.27100518,.013786527,.25582758
12771,1506,12771-1506,1502,1502,2,30,2,2,1,.38854042,.43125001,.4,.60604191,.67500001,.5,0,.61145961,.56875002,.2060419,.27500001,0,0,.073412664,.33639178,.033460639,.3180418
12771,1507,12771-1507,1502,1502,2,30,2,2,1,.78887701,.90526313,.4,.38956836,.19473684,.60000002,0,.21112299,.094736874,.010431642,.20526317,0,0,.037191562,.30513844,.030809771,.30903956
12774,1501,12774-1501,1502,1502,2,59,2,2,.6,.31963715,.32105261,99,.55755055,.67894733,0,0,.28036284,.27894738,99,99,0,0,.19218589,.32456696,.17191295,.30467641
12774,1502,12774-1502,1502,1502,2,59,2,2,.6,.73667377,.69473684,99,.45579195,.48947367,.69999999,1,.13667378,.094736837,99,99,1,2,.04107308,.24439472,.029734462,.22971876
12774,1503,12774-1503,1502,1502,2,59,2,2,.6,.81542552,.87894738,99,.39441913,.16842106,.80000001,0,.21542552,.27894738,99,99,0,0,.28858006,.44492242,.2699292,.46959761
12774,1504,12774-1504,1502,1502,2,59,2,2,.6,.50609195,.47777778,99,.46630952,.34736842,.40000001,0,.093908049,.12222222,99,99,0,0,.1771393,.36557925,.19422325,.35590488
12774,1505,12774-1505,1502,1502,2,59,2,2,.6,.14420828,.14444444,99,.48329145,.5266667,0,0,.45579171,.45555556,99,99,0,0,.026417105,.1970132,.020623095,.19566134
12774,1506,12774-1506,1502,1502,2,59,2,2,.6,.38854042,.43125001,99,.60604191,.67500001,0,0,.21145958,.16874999,99,99,0,0,.037429761,.23896576,.023156876,.23674273
12774,1507,12774-1507,1502,1502,2,59,2,2,.6,.78887701,.90526313,99,.38956836,.19473684,.2,0,.18887702,.30526313,99,99,0,0,.048853975,.30207437,.044335742,.30573624
12775,1501,12775-1501,0,1503,2,31,2,2,1,.31963715,.32105261,0,.55755055,.67894733,0,0,.68036282,.67894739,.55755055,.67894733,0,0,.15397814,.36254004,.1254029,.30896428
12775,1502,12775-1502,0,1503,2,31,2,2,1,.73667377,.69473684,0,.45579195,.48947367,.80000001,0,.26332623,.30526316,.45579195,.48947367,0,0,.052089926,.29194051,.04403314,.28183115
12775,1503,12775-1503,0,1503,2,31,2,2,1,.81542552,.87894738,0,.39441913,.16842106,.89999998,0,.18457448,.12105262,.39441913,.16842106,1,2,.24603917,.43293703,.25243452,.48435706
12775,1504,12775-1504,0,1503,2,31,2,2,1,.50609195,.47777778,0,.46630952,.34736842,0,0,.49390805,.52222222,.46630952,.34736842,0,0,.17351666,.44445693,.19866881,.44876796
12775,1505,12775-1505,0,1503,2,31,2,2,1,.14420828,.14444444,0,.48329145,.5266667,0,0,.85579169,.85555553,.48329145,.5266667,0,0,.017900851,.26845375,.013979927,.25375289
12775,1506,12775-1506,0,1503,2,31,2,2,1,.38854042,.43125001,0,.60604191,.67500001,0,0,.61145961,.56875002,.60604191,.67500001,0,0,.071760595,.33303228,.033040892,.31523839
12775,1507,12775-1507,0,1503,2,31,2,2,1,.78887701,.90526313,0,.38956836,.19473684,.80000001,0,.21112299,.094736874,.38956836,.19473684,0,0,.037545003,.30503279,.031201391,.30892566
12776,1501,12776-1501,1503,1503,3,36,2,2,1,.31963715,.32105261,.3,.55755055,.67894733,0,0,.68036282,.67894739,.25755054,.37894732,0,0,.16031295,.35575914,.13283265,.30819857
